Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device
Premium,14,2022 Jun 28,France,43,Female,Laptop
Basic,10,2022 Jun 29,Brazil,50,Female,Tablet
Standard,12,2022 Jun 26,Mexico,51,Male,Laptop
Premium,14,2022 Jun 26,Spain,40,Male,Tablet
Basic,10,2022 Jun 20,Italy,31,Male,Tablet
Premium,12,2022 Jun 18,Spain,39,Female,Smartphone
Basic,10,2022 Jun 16,Spain,49,Female,Tablet
Standard,10,2022 Jun 16,United States,34,Female,Laptop
Standard,13,2022 Jun 17,Canada,38,Male,Smartphone
Basic,15,2022 Jun 20,United States,36,Female,Laptop
Premium,10,2022 Jun 24,United States,42,Female,Smart TV
Basic,14,2022 Jun 27,Canada,50,Male,Tablet
Standard,10,2022 Jul 02,United Kingdom,42,Female,Laptop
Premium,14,2022 Jul 04,Australia,35,Female,Laptop
Basic,15,2022 Jul 15,Germany,46,Female,Tablet
Premium,15,2022 Jul 23,France,48,Male,Laptop
Basic,12,2022 Jul 29,Brazil,43,Female,Laptop
Standard,13,2022 Aug 01,Mexico,51,Female,Tablet
Standard,13,2022 Aug 12,Spain,45,Male,Smart TV
Basic,10,2022 Aug 14,Italy,46,Male,Laptop
Premium,12,2022 Aug 16,Spain,42,Female,Laptop
Basic,10,2022 Aug 26,Spain,42,Female,Smartphone
Standard,13,2022 Aug 31,United States,50,Male,Tablet
Premium,12,2022 Sep 02,Canada,28,Male,Smart TV
Basic,15,2022 Sep 03,United States,44,Female,Tablet
Basic,10,2022 Sep 05,United States,36,Male,Tablet
Basic,14,2022 Sep 10,Canada,37,Female,Laptop
Standard,12,2022 Sep 17,United Kingdom,36,Male,Smartphone
Premium,13,2022 Sep 28,Australia,31,Male,Smartphone
Basic,12,2022 Oct 02,Germany,36,Female,Smart TV
Basic,15,2022 Oct 05,France,39,Female,Laptop
Premium,11,2022 Oct 07,Brazil,45,Female,Laptop
Standard,13,2022 Oct 08,Mexico,29,Male,Smart TV
Standard,15,2022 Oct 08,Spain,45,Male,Smartphone
Basic,11,2022 Oct 09,Italy,29,Male,Smart TV
Premium,10,2022 Oct 09,Spain,28,Female,Smart TV
Standard,12,2022 Oct 10,Spain,42,Female,Smart TV
Basic,11,2022 Oct 14,United States,36,Female,Smartphone
Standard,15,2022 Oct 16,Canada,39,Male,Smart TV
Premium,11,2022 Oct 21,United States,36,Male,Smart TV
Basic,15,2022 Oct 25,United States,49,Male,Laptop
Premium,11,2022 Oct 30,Canada,32,Female,Tablet
Standard,12,2022 Oct 31,United Kingdom,40,Female,Smartphone
Basic,12,2022 Nov 08,Australia,34,Male,Smartphone
Standard,15,2022 Nov 09,Germany,35,Male,Smartphone
Premium,11,2022 Nov 07,France,44,Female,Smart TV
Basic,13,2022 Nov 08,Brazil,47,Female,Smartphone
Standard,14,2022 Nov 08,Mexico,33,Female,Laptop
Premium,11,2022 Oct 31,Spain,45,Male,Tablet
Basic,14,2022 Oct 28,Italy,42,Female,Tablet
Premium,15,2022 Oct 25,Spain,46,Male,Tablet
Basic,14,2022 Oct 18,Spain,51,Male,Tablet
Standard,15,2022 Sep 25,United States,41,Female,Laptop
Standard,10,2022 Aug 26,Canada,50,Female,Tablet
Basic,10,2022 Aug 20,United States,49,Female,Smartphone
Premium,12,2022 Aug 12,United States,34,Female,Laptop
Basic,13,2022 Aug 12,Canada,38,Female,Tablet
Standard,13,2022 Aug 11,United Kingdom,46,Male,Smart TV
Premium,14,2022 Aug 11,Australia,42,Male,Smart TV
Basic,12,2022 Aug 10,Germany,46,Male,Laptop
Premium,10,2022 Jul 31,France,51,Female,Smart TV
Basic,12,2022 Jul 17,Brazil,35,Male,Smart TV
Standard,10,2022 Jul 15,Mexico,34,Female,Smartphone
Standard,14,2022 Jul 05,Spain,31,Female,Laptop
Basic,12,2022 Jul 01,Italy,36,Female,Tablet
Premium,15,2022 Jul 01,Spain,28,Male,Smart TV
Basic,15,2022 Jun 26,Spain,29,Female,Smartphone
Standard,12,2022 Jun 27,United States,42,Female,Smart TV
Premium,10,2022 Jun 28,Canada,35,Female,Smartphone
Basic,12,2022 Jun 28,United States,32,Female,Laptop
Premium,10,2022 Jun 29,United States,43,Female,Tablet
Basic,10,2022 Jun 26,Canada,29,Male,Smartphone
Standard,13,2022 Jun 26,United Kingdom,35,Female,Tablet
Standard,14,2022 Jun 24,Australia,27,Female,Tablet
Basic,13,2022 Jun 21,Germany,38,Male,Tablet
Premium,13,2022 Jun 22,France,33,Male,Smart TV
Basic,11,2022 Jun 18,Brazil,48,Male,Laptop
Standard,10,2022 Jun 18,Mexico,51,Female,Laptop
Premium,10,2022 Jun 20,Spain,40,Female,Smartphone
Basic,13,2022 Jun 23,Italy,28,Male,Smartphone
Premium,10,2022 Jun 26,Spain,46,Female,Laptop
Basic,12,2022 Jul 02,Spain,28,Female,Tablet
Standard,12,2022 Jul 04,United States,47,Male,Tablet
Standard,10,2022 Jul 07,Canada,47,Male,Smartphone
Basic,13,2022 Jul 14,United States,50,Male,Smartphone
Premium,13,2022 Jul 20,United States,50,Female,Smart TV
Basic,15,2022 Jul 23,Canada,29,Male,Smartphone
Standard,15,2022 Jul 30,United Kingdom,38,Male,Tablet
Premium,11,2022 Aug 12,Australia,40,Female,Tablet
Basic,14,2022 Aug 14,Germany,43,Male,Smartphone
Premium,14,2022 Aug 22,France,27,Female,Smartphone
Basic,10,2022 Aug 29,Brazil,37,Female,Tablet
Standard,12,2022 Sep 02,Mexico,30,Male,Smartphone
Standard,13,2022 Sep 03,Spain,50,Male,Laptop
Basic,11,2022 Sep 04,Italy,51,Male,Smartphone
Premium,13,2022 Sep 06,Spain,37,Female,Laptop
Basic,14,2022 Sep 10,Spain,35,Female,Tablet
Standard,12,2022 Sep 20,United States,35,Male,Tablet
Premium,11,2022 Sep 26,Canada,46,Male,Tablet
Basic,13,2022 Oct 04,United States,27,Male,Tablet
Basic,13,2022 Oct 06,United States,27,Male,Laptop
Basic,13,2022 Oct 07,Canada,39,Female,Laptop
Standard,15,2022 Oct 08,United Kingdom,51,Male,Tablet
Premium,14,2022 Oct 09,Australia,41,Male,Smartphone
Basic,15,2022 Oct 10,Germany,30,Female,Smart TV
Basic,11,2022 Oct 10,France,46,Male,Laptop
Premium,14,2022 Oct 14,Brazil,31,Male,Tablet
Standard,13,2022 Oct 15,Mexico,49,Male,Smartphone
Standard,12,2022 Oct 17,Spain,39,Female,Tablet
Basic,11,2022 Oct 23,Italy,47,Male,Smartphone
Premium,15,2022 Oct 27,Spain,36,Female,Tablet
Standard,14,2022 Oct 29,Spain,42,Female,Tablet
Basic,15,2022 Nov 05,United States,28,Female,Smart TV
Standard,15,2022 Nov 07,Canada,43,Male,Tablet
Premium,10,2022 Nov 08,United States,50,Female,Laptop
Basic,15,2022 Nov 09,United States,30,Female,Tablet
Premium,10,2022 Nov 10,Canada,34,Female,Laptop
Standard,13,2022 Nov 02,United Kingdom,35,Female,Laptop
Basic,11,2022 Oct 31,Australia,29,Male,Tablet
Standard,15,2022 Oct 29,Germany,33,Male,Smart TV
Premium,12,2022 Oct 22,France,47,Male,Laptop
Basic,14,2022 Oct 20,Brazil,32,Female,Tablet
Standard,15,2022 Oct 21,Mexico,34,Female,Tablet
Premium,13,2022 Oct 10,Spain,46,Male,Smart TV
Basic,15,2022 Sep 06,Italy,31,Male,Tablet
Premium,12,2022 Sep 06,Spain,40,Female,Tablet
Basic,11,2022 Aug 13,Spain,38,Female,Tablet
Standard,11,2022 Aug 13,United States,31,Male,Smart TV
Standard,12,2022 Aug 13,Canada,46,Female,Smartphone
Basic,11,2022 Aug 06,United States,43,Male,Smart TV
Premium,15,2022 Aug 06,United States,38,Female,Laptop
Basic,15,2022 Jul 22,Canada,38,Female,Laptop
Standard,14,2022 Jul 17,United Kingdom,27,Male,Laptop
Premium,12,2022 Jul 09,Australia,49,Female,Tablet
Basic,11,2022 Jul 04,Germany,33,Male,Smartphone
Premium,10,2022 Jun 27,France,40,Female,Smartphone
Basic,13,2022 Jun 28,Brazil,27,Male,Tablet
Standard,12,2022 Jun 28,Mexico,28,Female,Laptop
Standard,10,2022 Jun 29,Spain,30,Male,Smartphone
Basic,10,2022 Jun 29,Italy,33,Female,Smartphone
Premium,15,2022 Jun 26,Spain,51,Female,Tablet
Basic,11,2022 Jun 26,Spain,51,Male,Tablet
Standard,10,2022 Jun 26,United States,50,Female,Smartphone
Premium,14,2022 Jun 24,Canada,46,Female,Tablet
Basic,14,2022 Jun 25,United States,31,Male,Smart TV
Premium,12,2022 Jun 20,United States,46,Female,Smartphone
Basic,15,2022 Jun 21,Canada,41,Male,Smart TV
Standard,12,2022 Jun 20,United Kingdom,36,Male,Smartphone
Standard,10,2022 Jun 22,Australia,45,Female,Tablet
Basic,10,2022 Jun 24,Germany,36,Male,Smartphone
Premium,15,2022 Jun 30,France,28,Male,Smartphone
Basic,13,2022 Jul 03,Brazil,45,Female,Smartphone
Standard,10,2022 Jul 04,Mexico,39,Female,Smartphone
Premium,13,2022 Jul 08,Spain,51,Female,Laptop
Basic,10,2022 Jul 19,Italy,37,Male,Laptop
Premium,11,2022 Jul 21,Spain,33,Female,Tablet
Basic,15,2022 Jul 27,Spain,32,Female,Smartphone
Standard,14,2022 Aug 02,United States,49,Female,Tablet
Standard,10,2022 Aug 09,Canada,37,Female,Smart TV
Basic,15,2022 Aug 21,United States,39,Male,Tablet
Premium,14,2022 Aug 29,United States,37,Male,Smart TV
Basic,15,2022 Aug 31,Canada,36,Female,Smart TV
Standard,10,2022 Sep 02,United Kingdom,34,Male,Laptop
Premium,13,2022 Sep 04,Australia,51,Female,Smartphone
Basic,13,2022 Sep 05,Germany,41,Female,Tablet
Premium,13,2022 Sep 10,France,51,Male,Smart TV
Basic,15,2022 Sep 13,Brazil,31,Female,Tablet
Standard,13,2022 Sep 20,Mexico,44,Male,Laptop
Standard,15,2022 Oct 01,Spain,50,Male,Smart TV
Basic,14,2022 Oct 03,Italy,33,Male,Laptop
Premium,11,2022 Oct 06,Spain,44,Female,Laptop
Basic,15,2022 Oct 08,Spain,42,Female,Tablet
Standard,13,2022 Oct 09,United States,35,Male,Smart TV
Premium,12,2022 Oct 10,Canada,48,Male,Smartphone
Basic,13,2022 Oct 10,United States,51,Female,Smartphone
Basic,15,2022 Oct 12,United States,44,Female,Smart TV
Basic,11,2022 Oct 14,Canada,37,Female,Smartphone
Standard,15,2022 Oct 15,United Kingdom,35,Female,Laptop
Premium,11,2022 Oct 17,Australia,32,Male,Laptop
Basic,15,2022 Oct 19,Germany,46,Female,Tablet
Basic,14,2022 Oct 25,France,39,Female,Laptop
Premium,11,2022 Oct 26,Brazil,33,Female,Tablet
Standard,10,2022 Nov 05,Mexico,42,Male,Tablet
Standard,14,2022 Nov 07,Spain,37,Female,Smartphone
Basic,14,2022 Nov 08,Italy,27,Female,Smart TV
Premium,14,2022 Nov 09,Spain,34,Female,Laptop
Standard,13,2022 Nov 06,Spain,51,Male,Laptop
Basic,12,2022 Nov 04,United States,42,Male,Laptop
Standard,13,2022 Nov 03,Canada,46,Female,Smart TV
Premium,13,2022 Oct 23,United States,36,Male,Laptop
Basic,14,2022 Oct 24,United States,46,Male,Smartphone
Premium,13,2022 Oct 23,Canada,51,Male,Smart TV
Standard,12,2022 Oct 21,United Kingdom,45,Female,Smartphone
Basic,14,2022 Sep 11,Australia,33,Male,Smartphone
Standard,10,2022 Sep 09,Germany,31,Female,Smart TV
Premium,12,2022 Aug 22,France,48,Female,Smart TV
Basic,13,2022 Aug 21,Brazil,47,Female,Laptop
Standard,13,2022 Aug 15,Mexico,43,Male,Smart TV
Premium,14,2022 Aug 14,Spain,39,Male,Tablet
Basic,11,2022 Aug 09,Italy,46,Male,Smart TV
Premium,12,2022 Aug 04,Spain,46,Female,Smartphone
Basic,11,2022 Jul 27,Spain,40,Female,Tablet
Standard,12,2022 Jul 11,United States,38,Male,Smartphone
Standard,13,2022 Jul 09,Canada,48,Female,Tablet
Basic,15,2022 Jul 01,United States,38,Male,Tablet
Premium,12,2022 Jun 30,United States,43,Male,Laptop
Basic,11,2022 Jun 29,Canada,29,Male,Smartphone
Standard,15,2022 Jun 29,United Kingdom,32,Female,Laptop
Premium,10,2022 Jun 30,Australia,32,Female,Laptop
Basic,10,2022 Jun 30,Germany,49,Female,Laptop
Premium,14,2022 Jun 26,France,51,Female,Laptop
Basic,14,2022 Jun 27,Brazil,32,Male,Smart TV
Standard,12,2022 Jun 25,Mexico,35,Female,Smart TV
Standard,15,2022 Jun 25,Spain,41,Male,Laptop
Basic,12,2022 Jun 20,Italy,43,Female,Smart TV
Premium,12,2022 Jun 21,Spain,41,Male,Smartphone
Basic,10,2022 Jun 21,Spain,51,Male,Smart TV
Standard,13,2022 Jun 22,United States,47,Female,Smart TV
Premium,15,2022 Jun 23,Canada,39,Male,Smart TV
Basic,15,2022 Jun 27,United States,51,Male,Smartphone
Premium,13,2022 Jul 02,United States,39,Female,Tablet
Basic,12,2022 Jul 03,Canada,45,Male,Tablet
Standard,13,2022 Jul 05,United Kingdom,42,Male,Laptop
Standard,13,2022 Jul 15,Australia,48,Male,Smartphone
Basic,11,2022 Jul 20,Germany,33,Male,Smart TV
Premium,14,2022 Jul 27,France,47,Female,Smartphone
Basic,11,2022 Jul 29,Brazil,51,Female,Smart TV
Standard,11,2022 Aug 03,Mexico,27,Male,Smartphone
Premium,11,2022 Aug 18,Spain,44,Female,Laptop
Basic,12,2022 Aug 23,Italy,41,Male,Laptop
Premium,11,2022 Aug 27,Spain,37,Male,Smart TV
Basic,15,2022 Sep 01,Spain,48,Male,Tablet
Standard,12,2022 Sep 03,United States,30,Male,Smart TV
Standard,14,2022 Sep 05,Canada,44,Female,Smartphone
Basic,14,2022 Sep 09,United States,34,Female,Smart TV
Premium,15,2022 Sep 11,United States,40,Female,Laptop
Basic,14,2022 Sep 17,Canada,28,Female,Smartphone
Standard,15,2022 Sep 19,United Kingdom,44,Female,Tablet
Premium,13,2022 Sep 28,Australia,38,Female,Laptop
Basic,14,2022 Oct 06,Germany,49,Male,Smart TV
Premium,13,2022 Oct 07,France,32,Female,Smart TV
Basic,14,2022 Oct 09,Brazil,47,Female,Smart TV
Standard,10,2022 Oct 10,Mexico,44,Male,Tablet
Standard,12,2022 Oct 11,Spain,33,Male,Smartphone
Basic,15,2022 Oct 12,Italy,32,Male,Laptop
Premium,12,2022 Oct 13,Spain,27,Female,Smartphone
Basic,11,2022 Oct 14,Spain,37,Male,Laptop
Standard,14,2022 Oct 16,United States,34,Male,Tablet
Premium,15,2022 Oct 19,Canada,40,Male,Smart TV
Basic,12,2022 Oct 23,United States,45,Female,Smart TV
Basic,13,2022 Oct 24,United States,29,Female,Tablet
Basic,14,2022 Oct 25,Canada,35,Male,Smart TV
Standard,10,2022 Nov 01,United Kingdom,38,Female,Laptop
Premium,11,2022 Nov 02,Australia,48,Female,Smart TV
Basic,12,2022 Nov 04,Germany,36,Male,Smartphone
Basic,10,2022 Nov 06,France,41,Male,Smart TV
Premium,15,2022 Nov 06,Brazil,27,Male,Smart TV
Standard,12,2022 Nov 04,Mexico,41,Male,Smart TV
Standard,13,2022 Oct 30,Spain,42,Male,Laptop
Basic,12,2022 Oct 27,Italy,40,Female,Laptop
Premium,13,2022 Oct 23,Spain,32,Male,Smart TV
Standard,12,2022 Oct 23,Spain,33,Male,Smart TV
Basic,11,2022 Sep 24,United States,34,Male,Smartphone
Standard,11,2022 Sep 22,Canada,29,Male,Tablet
Premium,14,2022 Sep 06,United States,50,Male,Smart TV
Basic,10,2022 Aug 23,United States,29,Female,Laptop
Premium,13,2022 Aug 21,Canada,40,Female,Tablet
Standard,10,2022 Aug 16,United Kingdom,27,Male,Smart TV
Basic,10,2022 Aug 09,Australia,51,Female,Smartphone
Standard,13,2022 Aug 04,Germany,41,Female,Laptop
Premium,15,2022 Jul 28,France,28,Female,Tablet
Basic,12,2022 Jul 12,Brazil,42,Male,Laptop
Standard,13,2022 Jul 11,Mexico,40,Male,Laptop
Premium,12,2022 Jul 06,Spain,48,Female,Smartphone
Basic,13,2022 Jul 01,Italy,28,Male,Smart TV
Premium,15,2022 Jul 02,Spain,40,Male,Smart TV
Basic,15,2022 Jun 30,Spain,33,Female,Tablet
Standard,12,2022 Jun 30,United States,33,Male,Smartphone
Standard,15,2022 Jun 30,Canada,47,Female,Smartphone
Basic,13,2022 Jun 30,United States,50,Female,Smart TV
Premium,15,2022 Jun 29,United States,38,Male,Smartphone
Basic,15,2022 Jun 27,Canada,36,Female,Tablet
Standard,15,2022 Jun 26,United Kingdom,38,Female,Tablet
Premium,12,2022 Jun 24,Australia,49,Male,Smartphone
Basic,12,2022 Jun 25,Germany,40,Female,Smart TV
Premium,13,2022 Jun 24,France,51,Male,Tablet
Basic,11,2022 Jun 22,Brazil,42,Female,Smartphone
Standard,13,2022 Jun 23,Mexico,41,Female,Smartphone
Standard,12,2022 Jun 25,Spain,48,Female,Smartphone
Basic,13,2022 Jun 29,Italy,39,Female,Tablet
Premium,15,2022 Jul 01,Spain,35,Female,Tablet
Basic,11,2022 Jul 05,Spain,32,Female,Tablet
Standard,12,2022 Jul 12,United States,28,Female,Smartphone
Premium,11,2022 Jul 16,Canada,27,Male,Laptop
Basic,11,2022 Jul 20,United States,30,Female,Laptop
Premium,14,2022 Jul 28,United States,47,Female,Laptop
Basic,14,2022 Jul 31,Canada,49,Female,Tablet
Standard,14,2022 Aug 14,United Kingdom,43,Female,Smartphone
Standard,12,2022 Aug 16,Australia,42,Male,Tablet
Basic,14,2022 Aug 18,Germany,29,Female,Smartphone
Premium,15,2022 Aug 27,France,35,Female,Smartphone
Basic,13,2022 Sep 01,Brazil,41,Female,Smartphone
Standard,13,2022 Sep 03,Mexico,47,Female,Smart TV
Premium,14,2022 Sep 07,Spain,28,Female,Smart TV
Basic,10,2022 Sep 08,Italy,44,Female,Smartphone
Premium,10,2022 Sep 14,Spain,28,Female,Tablet
Basic,11,2022 Sep 15,Spain,51,Male,Laptop
Standard,11,2022 Sep 27,United States,48,Male,Laptop
Standard,14,2022 Sep 30,Canada,49,Female,Tablet
Basic,10,2022 Oct 02,United States,50,Male,Smart TV
Premium,13,2022 Oct 03,United States,43,Male,Laptop
Basic,14,2022 Oct 05,Canada,32,Male,Smart TV
Standard,15,2022 Oct 10,United Kingdom,42,Female,Tablet
Premium,13,2022 Oct 11,Australia,41,Female,Laptop
Basic,11,2022 Oct 13,Germany,31,Male,Laptop
Premium,11,2022 Oct 14,France,37,Female,Smart TV
Basic,12,2022 Oct 16,Brazil,46,Male,Smart TV
Standard,14,2022 Oct 18,Mexico,30,Female,Tablet
Standard,11,2022 Oct 22,Spain,30,Female,Smart TV
Basic,10,2022 Oct 24,Italy,34,Female,Tablet
Premium,15,2022 Oct 25,Spain,47,Female,Laptop
Basic,14,2022 Oct 29,Spain,41,Male,Tablet
Standard,13,2022 Nov 02,United States,42,Female,Laptop
Premium,12,2022 Nov 03,Canada,48,Female,Smartphone
Basic,11,2022 Nov 04,United States,30,Female,Smart TV
Basic,13,2022 Nov 05,United States,51,Male,Smartphone
Basic,13,2022 Nov 05,Canada,27,Male,Smartphone
Standard,13,2022 Oct 31,United Kingdom,38,Male,Tablet
Premium,12,2022 Oct 27,Australia,29,Female,Smart TV
Basic,11,2022 Oct 25,Germany,40,Female,Smartphone
Basic,12,2022 Oct 26,France,31,Female,Laptop
Premium,11,2022 Sep 30,Brazil,30,Male,Smartphone
Standard,13,2022 Sep 27,Mexico,44,Male,Laptop
Standard,14,2022 Sep 12,Spain,34,Female,Tablet
Basic,14,2022 Aug 25,Italy,28,Female,Laptop
Premium,13,2022 Aug 25,Spain,41,Female,Laptop
Standard,12,2022 Aug 22,Spain,43,Male,Tablet
Basic,10,2022 Aug 17,United States,33,Male,Laptop
Standard,12,2022 Aug 09,Canada,32,Female,Tablet
Premium,10,2022 Aug 06,United States,39,Male,Smart TV
Basic,15,2022 Jul 17,United States,37,Male,Laptop
Premium,11,2022 Jul 12,Canada,46,Male,Tablet
Standard,11,2022 Jul 12,United Kingdom,39,Male,Smartphone
Basic,12,2022 Jul 02,Australia,46,Female,Tablet
Standard,13,2022 Jul 02,Germany,43,Male,Laptop
Premium,10,2022 Jun 30,France,32,Female,Laptop
Basic,12,2022 Jun 30,Brazil,30,Female,Smart TV
Standard,11,2022 Jul 01,Mexico,40,Female,Tablet
Premium,11,2022 Jun 30,Spain,51,Female,Smartphone
Basic,10,2022 Jun 29,Italy,40,Female,Smartphone
Premium,12,2022 Jun 30,Spain,28,Male,Smart TV
Basic,14,2022 Jun 29,Spain,51,Female,Smartphone
Standard,14,2022 Jun 26,United States,27,Male,Laptop
Standard,14,2022 Jun 27,Canada,35,Male,Smart TV
Basic,11,2022 Jun 24,United States,37,Male,Laptop
Premium,14,2022 Jun 23,United States,51,Male,Smart TV
Basic,11,2022 Jun 23,Canada,40,Male,Smart TV
Standard,14,2022 Jun 25,United Kingdom,38,Male,Laptop
Premium,11,2022 Jun 28,Australia,48,Female,Laptop
Basic,11,2022 Jul 01,Germany,49,Male,Smartphone
Premium,15,2022 Jul 02,France,33,Female,Laptop
Basic,10,2022 Jul 06,Brazil,34,Female,Tablet
Standard,15,2022 Jul 12,Mexico,39,Male,Tablet
Standard,13,2022 Jul 17,Spain,37,Female,Tablet
Basic,15,2022 Jul 23,Italy,44,Male,Laptop
Premium,15,2022 Jul 29,Spain,35,Male,Tablet
Basic,11,2022 Aug 06,Spain,31,Female,Laptop
Standard,10,2022 Aug 09,United States,39,Male,Smart TV
Premium,13,2022 Aug 14,Canada,38,Male,Tablet
Basic,11,2022 Aug 20,United States,42,Male,Smartphone
Premium,12,2022 Aug 28,United States,48,Female,Tablet
Basic,11,2022 Sep 02,Canada,31,Male,Tablet
Standard,11,2022 Sep 04,United Kingdom,42,Male,Smartphone
Standard,14,2022 Sep 06,Australia,35,Male,Smartphone
Basic,10,2022 Sep 14,Germany,39,Male,Laptop
Premium,13,2022 Sep 15,France,50,Female,Tablet
Basic,11,2022 Sep 16,Brazil,40,Male,Smartphone
Standard,10,2022 Sep 28,Mexico,29,Male,Smartphone
Premium,10,2022 Oct 02,Spain,48,Female,Smart TV
Basic,15,2022 Oct 03,Italy,34,Male,Smartphone
Premium,10,2022 Oct 05,Spain,48,Male,Smartphone
Basic,12,2022 Oct 07,Spain,48,Male,Laptop
Standard,12,2022 Oct 09,United States,35,Female,Tablet
Standard,11,2022 Oct 11,Canada,29,Male,Laptop
Basic,14,2022 Oct 13,United States,47,Female,Smart TV
Premium,12,2022 Oct 15,United States,36,Male,Smartphone
Basic,12,2022 Oct 17,Canada,40,Female,Smartphone
Standard,14,2022 Oct 21,United Kingdom,51,Male,Tablet
Premium,12,2022 Oct 23,Australia,37,Male,Smart TV
Basic,12,2022 Oct 24,Germany,36,Male,Tablet
Premium,12,2022 Oct 28,France,45,Male,Tablet
Basic,11,2022 Oct 31,Brazil,31,Female,Tablet
Standard,14,2022 Nov 03,Mexico,45,Female,Laptop
Standard,11,2022 Nov 04,Spain,30,Male,Laptop
Basic,14,2022 Nov 05,Italy,40,Female,Smartphone
Premium,14,2022 Nov 06,Spain,44,Female,Smart TV
Basic,12,2022 Nov 01,Spain,36,Female,Laptop
Standard,10,2022 Nov 01,United States,36,Male,Tablet
Premium,11,2022 Oct 29,Canada,32,Female,Smartphone
Basic,10,2022 Oct 27,United States,46,Male,Smart TV
Basic,12,2022 Oct 16,United States,39,Female,Smart TV
Basic,13,2022 Oct 14,Canada,30,Male,Smart TV
Standard,13,2022 Sep 14,United Kingdom,34,Male,Laptop
Premium,14,2022 Sep 03,Australia,28,Male,Laptop
Basic,13,2022 Aug 27,Germany,39,Female,Smartphone
Basic,12,2022 Aug 27,France,34,Female,Laptop
Premium,13,2022 Aug 21,Brazil,42,Male,Laptop
Standard,13,2022 Aug 13,Mexico,29,Female,Tablet
Standard,13,2022 Aug 12,Spain,29,Male,Tablet
Basic,12,2022 Jul 24,Italy,30,Male,Tablet
Premium,11,2022 Jul 24,Spain,51,Male,Smartphone
Standard,11,2022 Jul 12,Spain,51,Male,Smart TV
Basic,13,2022 Jul 09,United States,44,Male,Tablet
Standard,13,2022 Jul 09,Canada,35,Male,Laptop
Premium,10,2022 Jul 10,United States,39,Male,Smart TV
Basic,12,2022 Jul 02,United States,41,Female,Laptop
Premium,13,2022 Jul 02,Canada,44,Female,Laptop
Standard,11,2022 Jul 01,United Kingdom,29,Male,Laptop
Basic,14,2022 Jul 01,Australia,47,Male,Tablet
Standard,10,2022 Jun 30,Germany,28,Female,Smartphone
Premium,15,2022 Jun 29,France,45,Male,Laptop
Basic,11,2022 Jun 26,Brazil,28,Female,Smartphone
Standard,14,2022 Jun 27,Mexico,31,Female,Laptop
Premium,13,2022 Jun 25,Spain,47,Female,Laptop
Basic,13,2022 Jun 23,Italy,42,Female,Tablet
Premium,14,2022 Jun 24,Spain,34,Female,Laptop
Basic,12,2022 Jun 25,Spain,40,Female,Laptop
Standard,13,2022 Jun 26,United States,42,Female,Laptop
Standard,14,2022 Jun 27,Canada,33,Male,Smart TV
Basic,12,2022 Jun 30,United States,30,Male,Laptop
Premium,14,2022 Jul 03,United States,29,Male,Tablet
Basic,13,2022 Jul 09,Canada,31,Male,Smart TV
Standard,14,2022 Jul 17,United Kingdom,46,Female,Smart TV
Premium,11,2022 Jul 22,Australia,46,Female,Smartphone
Basic,11,2022 Jul 28,Germany,47,Male,Laptop
Premium,12,2022 Aug 04,France,48,Female,Smart TV
Basic,13,2022 Aug 08,Brazil,32,Female,Smart TV
Standard,13,2022 Aug 13,Mexico,51,Female,Tablet
Standard,13,2022 Aug 17,Spain,33,Male,Smart TV
Basic,15,2022 Aug 20,Italy,43,Male,Smartphone
Premium,14,2022 Aug 28,Spain,43,Female,Smart TV
Basic,13,2022 Aug 29,Spain,42,Male,Smart TV
Standard,15,2022 Sep 03,United States,30,Male,Smartphone
Premium,13,2022 Sep 10,Canada,50,Male,Smartphone
Basic,11,2022 Sep 13,United States,51,Female,Laptop
Premium,14,2022 Sep 15,United States,36,Female,Tablet
Basic,13,2022 Sep 25,Canada,41,Female,Tablet
Standard,10,2022 Oct 01,United Kingdom,37,Male,Smart TV
Standard,11,2022 Oct 02,Australia,30,Female,Tablet
Basic,11,2022 Oct 05,Germany,50,Female,Tablet
Premium,14,2022 Oct 06,France,41,Female,Smart TV
Basic,14,2022 Oct 07,Brazil,29,Female,Laptop
Standard,12,2022 Oct 10,Mexico,43,Male,Smart TV
Premium,12,2022 Oct 12,Spain,31,Female,Smart TV
Basic,14,2022 Oct 15,Italy,40,Male,Laptop
Premium,12,2022 Oct 17,Spain,35,Female,Smart TV
Basic,13,2022 Oct 21,Spain,39,Female,Laptop
Standard,14,2022 Oct 23,United States,48,Male,Laptop
Standard,14,2022 Oct 24,Canada,42,Female,Tablet
Basic,11,2022 Oct 27,United States,48,Female,Smart TV
Premium,10,2022 Oct 30,United States,33,Female,Smart TV
Basic,14,2022 Oct 31,Canada,45,Female,Smart TV
Standard,14,2022 Nov 03,United Kingdom,40,Female,Smart TV
Premium,15,2022 Nov 05,Australia,38,Male,Tablet
Basic,14,2022 Nov 06,Germany,31,Female,Tablet
Premium,14,2022 Nov 01,France,33,Female,Smart TV
Basic,15,2022 Nov 02,Brazil,27,Male,Laptop
Standard,13,2022 Nov 02,Mexico,47,Male,Smartphone
Standard,15,2022 Nov 01,Spain,41,Male,Tablet
Basic,11,2022 Oct 17,Italy,32,Female,Smart TV
Premium,11,2022 Oct 18,Spain,31,Male,Smart TV
Basic,13,2022 Sep 28,Spain,43,Female,Tablet
Standard,15,2022 Sep 23,United States,42,Female,Smart TV
